State/Region,Year,Insurance Type,Population,Percentage
United States,2022,Total,76740,100
United States,2022,Any Coverage,72810,94.9
United States,2022,Uninsured,3932,5.1
United States,2022,Private,46520,60.6
United States,2022,Employer-based,40240,52.4
United States,2022,Direct-purchase,6033,7.9
United States,2022,TRICARE,2001,2.6
United States,2022,Public,30380,39.6
United States,2022,Medicaid,30070,39.2
United States,2022,Medicare,474,0.6
United States,2022,VA Care,140,0.2
United States,2021,Total,77830,100
United States,2021,Any Coverage,73670,94.6
United States,2021,Uninsured,4165,5.4
United States,2021,Private,47060,60.5
United States,2021,Employer-based,40870,52.5
United States,2021,Direct-purchase,5874,7.5
United States,2021,TRICARE,2058,2.6
United States,2021,Public,30780,39.5
United States,2021,Medicaid,30480,39.2
United States,2021,Medicare,467,0.6
United States,2021,VA Care,137,0.2
United States,2019,Total,77350,100
United States,2019,Any Coverage,72980,94.3
United States,2019,Uninsured,4375,5.7
United States,2019,Private,46630,60.3
United States,2019,Employer-based,40790,52.7
United States,2019,Direct-purchase,5356,6.9
United States,2019,TRICARE,1947,2.5
United States,2019,Public,29450,38.1
United States,2019,Medicaid,29100,37.6
United States,2019,Medicare,476,0.6
United States,2019,VA Care,128,0.2
United States,2018,Total,77820,100
United States,2018,Any Coverage,73760,94.8
United States,2018,Uninsured,4055,5.2
United States,2018,Private,46650,60
United States,2018,Employer-based,40650,52.2
United States,2018,Direct-purchase,5475,7
United States,2018,TRICARE,1906,2.4
United States,2018,Public,30280,38.9
United States,2018,Medicaid,29990,38.5
United States,2018,Medicare,464,0.6
United States,2018,VA Care,105,0.1
United States,2017,Total,78080,100
United States,2017,Any Coverage,74150,95
United States,2017,Uninsured,3925,5
United States,2017,Private,46810,60
United States,2017,Employer-based,40580,52
United States,2017,Direct-purchase,5681,7.3
United States,2017,TRICARE,1879,2.4
United States,2017,Public,30480,39
United States,2017,Medicaid,30130,38.6
United States,2017,Medicare,520,0.7
United States,2017,VA Care,96,0.1
United States,2016,Total,78040,100
United States,2016,Any Coverage,74390,95.3
United States,2016,Uninsured,3649,4.7
United States,2016,Private,46660,59.8
United States,2016,Employer-based,40080,51.4
United States,2016,Direct-purchase,5985,7.7
United States,2016,TRICARE,1906,2.4
United States,2016,Public,30900,39.6
United States,2016,Medicaid,30550,39.1
United States,2016,Medicare,495,0.6
United States,2016,VA Care,106,0.1
United States,2015,Total,78020,100
United States,2015,Any Coverage,74070,94.9
United States,2015,Uninsured,3950,5.1
United States,2015,Private,46370,59.4
United States,2015,Employer-based,39870,51.1
United States,2015,Direct-purchase,5872,7.5
United States,2015,TRICARE,1879,2.4
United States,2015,Public,30720,39.4
United States,2015,Medicaid,30410,39
United States,2015,Medicare,472,0.6
United States,2015,VA Care,96,0.1
United States,2014,Total,77970,100
United States,2014,Any Coverage,73070,93.7
United States,2014,Uninsured,4897,6.3
United States,2014,Private,45990,59
United States,2014,Employer-based,39790,51
United States,2014,Direct-purchase,5515,7.1
United States,2014,TRICARE,1869,2.4
United States,2014,Public,29910,38.4
United States,2014,Medicaid,29610,38
United States,2014,Medicare,466,0.6
United States,2014,VA Care,77,0.1
United States,2013,Total,78010,100
United States,2013,Any Coverage,72150,92.5
United States,2013,Uninsured,5859,7.5
United States,2013,Private,45670,58.5
United States,2013,Employer-based,39710,50.9
United States,2013,Direct-purchase,5314,6.8
United States,2013,TRICARE,1894,2.4
United States,2013,Public,29260,37.5
United States,2013,Medicaid,28930,37.1
United States,2013,Medicare,478,0.6
United States,2013,VA Care,96,0.1
United States,2012,Total,78150,100
United States,2012,Any Coverage,72260,92.5
United States,2012,Uninsured,5890,7.5
United States,2012,Private,45900,58.7
United States,2012,Employer-based,40150,51.4
United States,2012,Direct-purchase,5742,7.3
United States,2012,TRICARE,1872,2.4
United States,2012,Public,29130,37.3
United States,2012,Medicaid,28830,36.9
United States,2012,Medicare,475,0.6
United States,2012,VA Care,86,0.1
United States,2011,Total,78410,100
United States,2011,Any Coverage,72220,92.1
United States,2011,Uninsured,6194,7.9
United States,2011,Private,46360,59.1
United States,2011,Employer-based,40540,51.7
United States,2011,Direct-purchase,5801,7.4
United States,2011,TRICARE,1868,2.4
United States,2011,Public,28640,36.5
United States,2011,Medicaid,28340,36.1
United States,2011,Medicare,477,0.6
United States,2011,VA Care,81,0.1
United States,2010,Total,78700,100
United States,2010,Any Coverage,72050,91.5
United States,2010,Uninsured,6650,8.5
United States,2010,Private,47130,59.9
United States,2010,Employer-based,41160,52.3
United States,2010,Direct-purchase,5998,7.6
United States,2010,TRICARE,1889,2.4
United States,2010,Public,27700,35.2
United States,2010,Medicaid,27410,34.8
United States,2010,Medicare,442,0.6
United States,2010,VA Care,84,0.1
United States,2009,Total,79010,100
United States,2009,Any Coverage,71900,91
United States,2009,Uninsured,7116,9
United States,2009,Private,48850,61.8
United States,2009,Employer-based,42710,54.1
United States,2009,Direct-purchase,6443,8.2
United States,2009,TRICARE,1882,2.4
United States,2009,Public,25670,32.5
United States,2009,Medicaid,25330,32.1
United States,2009,Medicare,493,0.6
United States,2009,VA Care,90,0.1
United States,2008,Total,78460,100
United States,2008,Any Coverage,70830,90.3
United States,2008,Uninsured,7634,9.7
United States,2008,Private,50470,64.3
United States,2008,Employer-based,44150,56.3
United States,2008,Direct-purchase,7373,9.4
United States,2008,TRICARE,1827,2.3
United States,2008,Public,23140,29.5
United States,2008,Medicaid,22800,29.1
United States,2008,Medicare,524,0.7
United States,2008,VA Care,86,0.1
Alabama,2022,Total,1183,100
Alabama,2022,Any Coverage,1145,96.9
Alabama,2022,Uninsured,37,3.1
Alabama,2022,Private,655,55.4
Alabama,2022,Employer-based,553,46.7
Alabama,2022,Direct-purchase,91,7.7
Alabama,2022,TRICARE,45,3.8
Alabama,2022,Public,548,46.4
Alabama,2022,Medicaid,543,45.9
Alabama,2022,Medicare,8,0.7
Alabama,2022,VA Care,1,0.1
Alabama,2021,Total,1191,100
Alabama,2021,Any Coverage,1144,96
Alabama,2021,Uninsured,47,4
Alabama,2021,Private,669,56.2
Alabama,2021,Employer-based,569,47.8
Alabama,2021,Direct-purchase,89,7.5
Alabama,2021,TRICARE,47,4
Alabama,2021,Public,524,44
Alabama,2021,Medicaid,520,43.7
Alabama,2021,Medicare,6,0.5
Alabama,2021,VA Care,2,0.2
Alabama,2019,Total,1154,100
Alabama,2019,Any Coverage,1114,96.5
Alabama,2019,Uninsured,40,3.5
Alabama,2019,Private,641,55.5
Alabama,2019,Employer-based,556,48.1
Alabama,2019,Direct-purchase,69,6
Alabama,2019,TRICARE,40,3.5
Alabama,2019,Public,516,44.7
Alabama,2019,Medicaid,509,44.1
Alabama,2019,Medicare,9,0.8
Alabama,2019,VA Care,2,0.2
Alabama,2018,Total,1163,100
Alabama,2018,Any Coverage,1122,96.5
Alabama,2018,Uninsured,41,3.5
Alabama,2018,Private,649,55.8
Alabama,2018,Employer-based,567,48.8
Alabama,2018,Direct-purchase,67,5.8
Alabama,2018,TRICARE,39,3.4
Alabama,2018,Public,513,44.1
Alabama,2018,Medicaid,507,43.6
Alabama,2018,Medicare,8,0.7
Alabama,2018,VA Care,2,0.2
Alabama,2017,Total,1169,100
Alabama,2017,Any Coverage,1133,96.9
Alabama,2017,Uninsured,36,3.1
Alabama,2017,Private,643,55
Alabama,2017,Employer-based,553,47.3
Alabama,2017,Direct-purchase,77,6.6
Alabama,2017,TRICARE,36,3
Alabama,2017,Public,536,45.8
Alabama,2017,Medicaid,530,45.3
Alabama,2017,Medicare,7,0.6
Alabama,2017,VA Care,3,0.2
Alabama,2016,Total,1170,100
Alabama,2016,Any Coverage,1138,97.3
Alabama,2016,Uninsured,32,2.7
Alabama,2016,Private,653,55.8
Alabama,2016,Employer-based,556,47.5
Alabama,2016,Direct-purchase,80,6.8
Alabama,2016,TRICARE,41,3.5
Alabama,2016,Public,525,44.8
Alabama,2016,Medicaid,519,44.3
Alabama,2016,Medicare,7,0.6
Alabama,2016,VA Care,2,0.2
Alabama,2015,Total,1178,100
Alabama,2015,Any Coverage,1140,96.8
Alabama,2015,Uninsured,37,3.2
Alabama,2015,Private,658,55.9
Alabama,2015,Employer-based,564,47.9
Alabama,2015,Direct-purchase,79,6.7
Alabama,2015,TRICARE,38,3.2
Alabama,2015,Public,531,45
Alabama,2015,Medicaid,526,44.7
Alabama,2015,Medicare,6,0.5
Alabama,2015,VA Care,2,0.2
Alabama,2014,Total,1177,100
Alabama,2014,Any Coverage,1128,95.8
Alabama,2014,Uninsured,49,4.2
Alabama,2014,Private,650,55.2
Alabama,2014,Employer-based,566,48
Alabama,2014,Direct-purchase,65,5.5
Alabama,2014,TRICARE,38,3.2
Alabama,2014,Public,523,44.4
Alabama,2014,Medicaid,518,44
Alabama,2014,Medicare,6,0.5
Alabama,2014,VA Care,2,0.1
Alabama,2013,Total,1186,100
Alabama,2013,Any Coverage,1129,95.2
Alabama,2013,Uninsured,56,4.8
Alabama,2013,Private,658,55.5
Alabama,2013,Employer-based,558,47.1
Alabama,2013,Direct-purchase,89,7.5
Alabama,2013,TRICARE,37,3.1
Alabama,2013,Public,517,43.6
Alabama,2013,Medicaid,510,43
Alabama,2013,Medicare,14,1.2
Alabama,2013,VA Care,2,0.2
Alabama,2012,Total,1194,100
Alabama,2012,Any Coverage,1142,95.6
Alabama,2012,Uninsured,52,4.4
Alabama,2012,Private,668,55.9
Alabama,2012,Employer-based,577,48.3
Alabama,2012,Direct-purchase,94,7.9
Alabama,2012,TRICARE,35,2.9
Alabama,2012,Public,522,43.7
Alabama,2012,Medicaid,517,43.3
Alabama,2012,Medicare,10,0.8
Alabama,2012,VA Care,1,0.1
Alabama,2011,Total,1195,100
Alabama,2011,Any Coverage,1128,94.4
Alabama,2011,Uninsured,67,5.6
Alabama,2011,Private,677,56.6
Alabama,2011,Employer-based,578,48.4
Alabama,2011,Direct-purchase,85,7.1
Alabama,2011,TRICARE,43,3.6
Alabama,2011,Public,490,41
Alabama,2011,Medicaid,484,40.5
Alabama,2011,Medicare,6,0.5
Alabama,2011,VA Care,3,0.3
Alabama,2010,Total,1208,100
Alabama,2010,Any Coverage,1132,93.7
Alabama,2010,Uninsured,76,6.3
Alabama,2010,Private,690,57.1
Alabama,2010,Employer-based,594,49.1
Alabama,2010,Direct-purchase,88,7.3
Alabama,2010,TRICARE,40,3.3
Alabama,2010,Public,485,40.2
Alabama,2010,Medicaid,480,39.8
Alabama,2010,Medicare,9,0.7
Alabama,2010,VA Care,1,0.1
Alabama,2009,Total,1194,100
Alabama,2009,Any Coverage,1120,93.8
Alabama,2009,Uninsured,74,6.2
Alabama,2009,Private,711,59.6
Alabama,2009,Employer-based,614,51.4
Alabama,2009,Direct-purchase,93,7.8
Alabama,2009,TRICARE,37,3.1
Alabama,2009,Public,447,37.5
Alabama,2009,Medicaid,443,37.1
Alabama,2009,Medicare,7,0.6
Alabama,2009,VA Care,1,0.1
Alabama,2008,Total,1189,100
Alabama,2008,Any Coverage,1094,92.1
Alabama,2008,Uninsured,94,7.9
Alabama,2008,Private,745,62.7
Alabama,2008,Employer-based,649,54.6
Alabama,2008,Direct-purchase,107,9
Alabama,2008,TRICARE,36,3.1
Alabama,2008,Public,392,33
Alabama,2008,Medicaid,386,32.4
Alabama,2008,Medicare,7,0.6
Alabama,2008,VA Care,3,0.3
Alaska,2022,Total,183,100
Alaska,2022,Any Coverage,168,91.6
Alaska,2022,Uninsured,15,8.4
Alaska,2022,Private,111,60.7
Alaska,2022,Employer-based,91,49.8
Alaska,2022,Direct-purchase,8,4.4
Alaska,2022,TRICARE,18,9.8
Alaska,2022,Public,72,39.1
Alaska,2022,Medicaid,70,38.5
Alaska,2022,Medicare,1,0.5
Alaska,2022,VA Care,1,0.5
Alaska,2021,Total,187,100
Alaska,2021,Any Coverage,172,92.1
Alaska,2021,Uninsured,15,7.9
Alaska,2021,Private,109,58.6
Alaska,2021,Employer-based,87,46.4
Alaska,2021,Direct-purchase,9,5
Alaska,2021,TRICARE,20,10.8
Alaska,2021,Public,77,41.1
Alaska,2021,Medicaid,76,40.6
Alaska,2021,Medicare,1,0.3
Alaska,2021,VA Care,1,0.3
Alaska,2019,Total,190,100
Alaska,2019,Any Coverage,172,90.6
Alaska,2019,Uninsured,18,9.4
Alaska,2019,Private,111,58.2
Alaska,2019,Employer-based,87,45.7
Alaska,2019,Direct-purchase,9,4.7
Alaska,2019,TRICARE,26,13.4
Alaska,2019,Public,74,38.7
Alaska,2019,Medicaid,71,37.1
Alaska,2019,Medicare,2,1.1
Alaska,2019,VA Care,2,0.9
Alaska,2018,Total,193,100
Alaska,2018,Any Coverage,174,90.6
Alaska,2018,Uninsured,18,9.4
Alaska,2018,Private,118,61.5
Alaska,2018,Employer-based,94,49
Alaska,2018,Direct-purchase,9,4.8
Alaska,2018,TRICARE,23,11.9
Alaska,2018,Public,67,34.7
Alaska,2018,Medicaid,66,34.1
Alaska,2018,Medicare,1,0.5
Alaska,2018,VA Care,1,0.3
Alaska,2017,Total,194,100
Alaska,2017,Any Coverage,176,90.4
Alaska,2017,Uninsured,19,9.6
Alaska,2017,Private,110,56.4
